id;createdAt;updatedAt;dietId;comparisonDietId
1;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;21;22
2;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;255;257
3;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;1;2
4;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;3;4
5;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;5;6
6;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;7;8
7;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;9;10
8;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;11;12
9;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;13;14
10;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;15;16
11;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;17;18
12;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;19;20
13;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;23;24
14;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;25;26
15;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;27;28
16;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;29;30
17;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;31;32
18;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;33;34
19;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;35;36
20;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;37;38
21;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;39;40
22;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;41;42
23;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;43;44
24;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;45;46
25;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;47;48
26;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;49;50
27;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;51;52
28;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;53;54
29;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;55;62
30;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;56;59
31;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;57;61
32;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;58;60
33;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;63;64
34;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;65;66
35;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;67;68
36;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;69;70
37;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;71;72
38;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;73;74
39;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;75;76
40;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;77;78
41;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;79;80
42;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;81;82
43;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;83;84
44;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;85;86
45;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;87;90
46;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;88;89
47;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;91;92
48;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;93;94
49;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;95;96
50;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;97;98
51;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;99;100
52;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;101;102
53;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;103;104
54;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;105;108
55;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;106;107
56;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;109;110
57;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;111;112
58;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;113;114
59;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;115;116
60;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;117;118
61;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;119;120
62;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;121;122
63;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;123;124
64;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;125;126
65;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;127;128
66;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;129;130
67;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;131;132
68;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;133;134
69;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;135;136
70;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;137;138
71;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;139;140
72;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;141;142
73;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;487;488
74;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;143;144
75;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;145;146
76;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;147;148
77;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;149;150
78;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;151;152
79;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;153;154
80;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;155;156
81;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;157;158
82;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;159;160
83;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;161;162
84;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;163;164
85;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;165;166
86;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;167;168
87;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;169;170
88;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;171;172
89;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;173;174
90;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;175;176
91;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;177;178
92;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;179;180
93;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;181;182
94;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;183;184
95;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;185;186
96;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;187;188
97;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;189;190
98;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;191;192
99;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;193;194
100;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;195;196
101;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;197;198
102;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;199;200
103;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;201;202
104;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;203;204
105;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;205;206
106;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;207;208
107;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;209;210
108;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;211;212
109;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;213;214
110;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;215;216
111;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;217;218
112;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;219;220
113;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;221;222
114;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;223;224
115;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;225;226
116;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;227;228
117;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;229;230
118;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;231;232
119;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;233;234
120;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;235;236
121;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;237;238
122;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;239;240
123;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;241;242
124;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;243;244
125;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;245;249
126;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;246;250
127;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;247;248
128;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;251;252
129;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;253;254
130;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;256;258
131;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;259;260
132;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;261;262
133;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;263;264
134;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;265;266
135;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;267;268
136;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;269;274
137;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;270;273
138;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;271;272
139;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;275;277
140;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;276;278
141;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;279;280
142;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;281;284
143;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;282;283
144;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;285;286
145;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;287;288
146;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;289;292
147;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;290;291
148;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;293;294
149;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;295;297
150;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;296;298
151;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;299;300
152;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;301;302
153;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;303;304
