id;description;name;createdAt;updatedAt;applicationId;dietGroupId
1;;Alpacas and Llamas;2017-12-05 17:09:02.404+00;2017-12-05 17:09:02.404+00;1;
2;;Complete Feeds for the four production catergories;2017-12-05 17:09:02.774+00;2017-12-05 17:09:02.774+00;1;1
5;;Pigs;2017-12-05 17:09:25.991+00;2017-12-05 17:09:25.991+00;1;
6;;Finishing Rations for Gilts and Barrows;2017-12-05 17:09:26.346+00;2017-12-05 17:09:26.346+00;1;5
9;;Poultry;2017-12-05 17:10:07.303+00;2017-12-05 17:10:07.303+00;1;
10;;Quail;2017-12-05 17:10:07.648+00;2017-12-05 17:10:07.648+00;1;9
11;;Japanese Quail and Bobwhite Quail;2017-12-05 17:10:07.998+00;2017-12-05 17:10:07.998+00;1;10
14;;Ostriches;2017-12-05 17:10:33.155+00;2017-12-05 17:10:33.155+00;1;9
15;;Starter, Grower, Finisher �and Breeder rations;2017-12-05 17:10:33.502+00;2017-12-05 17:10:33.502+00;1;14
18;;Emus;2017-12-05 17:10:41.098+00;2017-12-05 17:10:41.098+00;1;9
19;;Starter, Grower, Finisher and Breeder rations;2017-12-05 17:10:41.444+00;2017-12-05 17:10:41.444+00;1;18
22;;Chickens;2017-12-05 17:10:49.482+00;2017-12-05 17:10:49.482+00;1;9
23;;Breeder Hens laying hatching eggs;2017-12-05 17:10:49.829+00;2017-12-05 17:10:49.829+00;1;22
26;;Pigeons;2017-12-05 17:11:16.578+00;2017-12-05 17:11:16.578+00;1;
27;;Pelleted, Racing Bird Mixtures;2017-12-05 17:11:16.922+00;2017-12-05 17:11:16.922+00;1;26
30;;Turkeys;2017-12-05 17:11:28.969+00;2017-12-05 17:11:28.969+00;1;9
31;;Growing birds and Breeding birds;2017-12-05 17:11:29.767+00;2017-12-05 17:11:29.767+00;1;30
34;;Ducks;2017-12-05 17:11:51.052+00;2017-12-05 17:11:51.052+00;1;9
35;;Starter, Grower and Breeder rations;2017-12-05 17:11:51.4+00;2017-12-05 17:11:51.4+00;1;34
38;;Geese;2017-12-05 17:12:04.115+00;2017-12-05 17:12:04.115+00;1;9
39;;Starter, Grower and Breeder rations;2017-12-05 17:12:04.621+00;2017-12-05 17:12:04.621+00;1;38
42;;Pheasants;2017-12-05 17:12:17.096+00;2017-12-05 17:12:17.096+00;1;9
43;;Starter, Grower and Breeder rations;2017-12-05 17:12:17.449+00;2017-12-05 17:12:17.449+00;1;42
46;;Broilers;2017-12-05 17:12:27.376+00;2017-12-05 17:12:27.376+00;1;9
47;;Growing and Finishing Rations;2017-12-05 17:12:27.724+00;2017-12-05 17:12:27.724+00;1;46
50;;Fish;2017-12-05 17:13:00.135+00;2017-12-05 17:13:00.135+00;1;
51;;Carnivorous Shrimp species;2017-12-05 17:13:00.485+00;2017-12-05 17:13:00.485+00;1;50
53;;Omnivorous fish species;2017-12-05 17:13:04.054+00;2017-12-05 17:13:04.054+00;1;50
55;;Carnivorous fish species;2017-12-05 17:13:07.622+00;2017-12-05 17:13:07.622+00;1;50
57;;Omnivorous Shrimp species;2017-12-05 17:13:11.364+00;2017-12-05 17:13:11.364+00;1;50
63;;Layers, Both White Egg and Brown Egg Laying strains;2017-12-05 17:13:33.299+00;2017-12-05 17:13:33.299+00;1;22
66;;Egg Laying Pullets at different stages of Growth;2017-12-05 17:14:22.341+00;2017-12-05 17:14:22.341+00;1;22
69;;Beef Cattle;2017-12-05 17:15:11.657+00;2017-12-05 17:15:11.657+00;1;
70;;Yearling Bulls and Mature Breeding Bulls 770 kg (1700 lb);2017-12-05 17:15:12.017+00;2017-12-05 17:15:12.017+00;1;69
73;;Yearling Bulls and Mature Breeding Bulls 1040 kg (2300 lb);2017-12-05 17:15:17.26+00;2017-12-05 17:15:17.26+00;1;69
76;;Yearling Bulls and Mature Breeding Bulls 900 kg (2000 lb);2017-12-05 17:15:38.299+00;2017-12-05 17:15:38.299+00;1;69
79;;Goats;2017-12-05 17:18:30.168+00;2017-12-05 17:18:30.168+00;1;
80;;Growing Replacement Does and Bucks;2017-12-05 17:18:30.519+00;2017-12-05 17:18:30.519+00;1;79
83;;Dairy Cattle;2017-12-05 17:19:10.804+00;2017-12-05 17:19:10.804+00;1;
84;;Gestation rations for pregnant cows and Heifers;2017-12-05 17:19:11.153+00;2017-12-05 17:19:11.153+00;1;83
87;;Rations for Lactating cows for the first 6 months since calving;2017-12-05 17:19:23.207+00;2017-12-05 17:19:23.207+00;1;69
90;;Sheep;2017-12-05 17:20:03.588+00;2017-12-05 17:20:03.588+00;1;
91;;Growing and Finishing lambs;2017-12-05 17:20:03.938+00;2017-12-05 17:20:03.938+00;1;90
94;;Milk Breeds;2017-12-05 17:20:09.183+00;2017-12-05 17:20:09.183+00;1;79
97;;Mohair and Cashmere producing Goats;2017-12-05 17:22:37.953+00;2017-12-05 17:22:37.953+00;1;79
100;;Maintenance and Gestation rations;2017-12-05 17:23:04.118+00;2017-12-05 17:23:04.118+00;1;79
103;;Game;2017-12-05 17:23:55.893+00;2017-12-05 17:23:55.893+00;1;
104;;Small Antelope;2017-12-05 17:23:56.244+00;2017-12-05 17:23:56.244+00;1;103
105;;On Poor or very little grazing;2017-12-05 17:23:56.594+00;2017-12-05 17:23:56.594+00;1;104
107;;Large Antelope;2017-12-05 17:23:58.942+00;2017-12-05 17:23:58.942+00;1;103
108;;On poor or very little grazing;2017-12-05 17:23:59.292+00;2017-12-05 17:23:59.292+00;1;107
110;;Deer;2017-12-05 17:24:01.826+00;2017-12-05 17:24:01.826+00;1;103
111;;On Poor or very little grazing;2017-12-05 17:24:02.172+00;2017-12-05 17:24:02.172+00;1;110
116;;Cats;2017-12-05 17:24:15.309+00;2017-12-05 17:24:15.309+00;1;
119;;Dogs;2017-12-05 17:24:21.054+00;2017-12-05 17:24:21.054+00;1;
122;;Mature Ewes, Maintenance, Gestation and Lactation;2017-12-05 17:25:49.522+00;2017-12-05 17:25:49.522+00;1;90
124;;First Pregnancy Ewes, Flushing, Gestation and Lactation;2017-12-05 17:25:52.263+00;2017-12-05 17:25:52.263+00;1;90
128;;Complete rations for lactating Cows;2017-12-05 17:26:00.916+00;2017-12-05 17:26:00.916+00;1;83
129;;Large Breeds 3% BFat;2017-12-05 17:26:01.267+00;2017-12-05 17:26:01.267+00;1;128
132;;Small Breeds 4% BFat;2017-12-05 17:26:08.319+00;2017-12-05 17:26:08.319+00;1;128
134;;Large Breeds 4% BFat;2017-12-05 17:26:11.919+00;2017-12-05 17:26:11.919+00;1;128
