id;description;name;userName;createdAt;updatedAt;dietGroupId
21;;Bobwhite Quail, Breeder Ration;;2017-12-05 17:10:08.689+00;2017-12-05 17:10:08.689+00;12
255;;Fingerling;;2017-12-05 17:24:28.931+00;2017-12-05 17:24:28.931+00;54
1;;A Complete (Full Feed) Finisher Ration;;2017-12-05 17:09:03.647+00;2017-12-05 17:09:03.647+00;3
2;;A Complete (Full Feed) Finisher Ration;;2017-12-05 17:09:07.452+00;2017-12-05 17:09:07.452+00;4
3;;A Complete (Full Feed) Gestation Ration;;2017-12-05 17:09:10.332+00;2017-12-05 17:09:10.332+00;3
4;;A Complete (Full Feed) Gestation Ration;;2017-12-05 17:09:13.129+00;2017-12-05 17:09:13.129+00;4
5;;A Complete (Full Feed) Grower Ration;;2017-12-05 17:09:15.949+00;2017-12-05 17:09:15.949+00;3
6;;A Complete (Full Feed) Grower Ration;;2017-12-05 17:09:18.762+00;2017-12-05 17:09:18.762+00;4
7;;A Complete (Full Feed) Lactation Ration;;2017-12-05 17:09:21.551+00;2017-12-05 17:09:21.551+00;3
8;;A Complete (Full Feed) Lactation Ration;;2017-12-05 17:09:24.567+00;2017-12-05 17:09:24.567+00;4
9;;Barrows, BW: 50 - 80 kg (110 - 175 lb), To Gain 300 g/Day;;2017-12-05 17:09:27.047+00;2017-12-05 17:09:27.047+00;7
10;;Barrows, BW: 50 - 80 kg (110 - 175 lb), To Gain 300 g/Day;;2017-12-05 17:09:30.346+00;2017-12-05 17:09:30.346+00;8
11;;Barrows, BW: 50 - 80 kg (110 - 175 lb), To Gain 325 g/Day;;2017-12-05 17:09:33.818+00;2017-12-05 17:09:33.818+00;7
12;;Barrows, BW: 50 - 80 kg (110 - 175 lb), To Gain 325 g/Day;;2017-12-05 17:09:37.308+00;2017-12-05 17:09:37.308+00;8
13;;Barrows, BW: 50 - 80 kg (110 - 175 lb), To Gain 350 g/Day;;2017-12-05 17:09:40.772+00;2017-12-05 17:09:40.772+00;7
14;;Barrows, BW: 50 - 80 kg (110 - 175 lb), To Gain 350 g/Day;;2017-12-05 17:09:44.252+00;2017-12-05 17:09:44.252+00;8
15;;Barrows, BW: 80 - 120 kg (175 - 265 lb), To Gain 300 g/Day;;2017-12-05 17:09:47.77+00;2017-12-05 17:09:47.77+00;7
16;;Barrows, BW: 80 - 120 kg (175 - 265 lb), To Gain 300 g/Day;;2017-12-05 17:09:51.261+00;2017-12-05 17:09:51.261+00;8
17;;Barrows, BW: 80 - 120 kg (175 - 265 lb), To Gain 325 g/Day;;2017-12-05 17:09:54.754+00;2017-12-05 17:09:54.754+00;7
18;;Barrows, BW: 80 - 120 kg (175 - 265 lb), To Gain 325 g/Day;;2017-12-05 17:09:58.277+00;2017-12-05 17:09:58.277+00;8
19;;Barrows, BW: 80 - 120 kg (175 - 265 lb), To Gain 350 g/Day;;2017-12-05 17:10:01.734+00;2017-12-05 17:10:01.734+00;7
20;;Barrows, BW: 80 - 120 kg (175 - 265 lb), To Gain 350 g/Day;;2017-12-05 17:10:05.215+00;2017-12-05 17:10:05.215+00;8
22;;Bobwhite Quail, Breeder Ration;;2017-12-05 17:10:12.73+00;2017-12-05 17:10:12.73+00;13
23;;Bobwhite Quail, Grower Ration For Chicks After 6 Weeks Of Age;;2017-12-05 17:10:17.286+00;2017-12-05 17:10:17.286+00;12
24;;Bobwhite Quail, Grower Ration For Chicks After 6 Weeks Of Age;;2017-12-05 17:10:21.71+00;2017-12-05 17:10:21.71+00;13
25;;Bobwhite Quail, Starter Ration For Chicks 0 - 6 Weeks Of Age;;2017-12-05 17:10:26.214+00;2017-12-05 17:10:26.214+00;12
26;;Bobwhite Quail, Starter Ration For Chicks 0 - 6 Weeks Of Age;;2017-12-05 17:10:30.598+00;2017-12-05 17:10:30.598+00;13
27;;Breeder Holding Ration, From 42 Weeks To Sexual Maturity;;2017-12-05 17:10:34.193+00;2017-12-05 17:10:34.193+00;16
28;;Breeder Holding Ration, From 42 Weeks To Sexual Maturity;;2017-12-05 17:10:38.366+00;2017-12-05 17:10:38.366+00;17
29;;Breeder Holding Ration, From 48 Weeks To sexual Maturity;;2017-12-05 17:10:42.135+00;2017-12-05 17:10:42.135+00;20
30;;Breeder Holding Ration, From 48 Weeks To sexual Maturity;;2017-12-05 17:10:46.676+00;2017-12-05 17:10:46.676+00;21
31;;Breeder Ration For hens laying hatching Eggs;;2017-12-05 17:10:50.52+00;2017-12-05 17:10:50.52+00;24
32;;Breeder Ration For hens laying hatching Eggs;;2017-12-05 17:10:55.036+00;2017-12-05 17:10:55.036+00;25
33;;Breeder Ration, From 3 - 4 Weeks before onset Of Egg Production;;2017-12-05 17:10:59.884+00;2017-12-05 17:10:59.884+00;20
34;;Breeder Ration, From 3 - 4 Weeks before onset Of Egg Production;;2017-12-05 17:11:04.726+00;2017-12-05 17:11:04.726+00;21
35;;Breeder Ration, From 4 - 5 Weeks before onset Of Egg Production;;2017-12-05 17:11:09.616+00;2017-12-05 17:11:09.616+00;16
36;;Breeder Ration, From 4 - 5 Weeks before onset Of Egg Production;;2017-12-05 17:11:14.474+00;2017-12-05 17:11:14.474+00;17
37;;Breeder, Pelleted Mix;;2017-12-05 17:11:17.611+00;2017-12-05 17:11:17.611+00;28
38;;Breeder, Pelleted Mix;;2017-12-05 17:11:22.666+00;2017-12-05 17:11:22.666+00;29
39;;Breeders, Holding;;2017-12-05 17:11:31.032+00;2017-12-05 17:11:31.032+00;32
40;;Breeders, Holding;;2017-12-05 17:11:37.649+00;2017-12-05 17:11:37.649+00;33
41;;Breeders, Laying;;2017-12-05 17:11:42.693+00;2017-12-05 17:11:42.693+00;32
42;;Breeders, Laying;;2017-12-05 17:11:47.898+00;2017-12-05 17:11:47.898+00;33
43;;Breeding Ducks;;2017-12-05 17:11:52.088+00;2017-12-05 17:11:52.088+00;36
44;;Breeding Ducks;;2017-12-05 17:11:59.131+00;2017-12-05 17:11:59.131+00;37
45;;Breeding Geese;;2017-12-05 17:12:05.988+00;2017-12-05 17:12:05.988+00;40
46;;Breeding Geese;;2017-12-05 17:12:13.255+00;2017-12-05 17:12:13.255+00;41
47;;Breeding Pheasants;;2017-12-05 17:12:18.153+00;2017-12-05 17:12:18.153+00;44
48;;Breeding Pheasants;;2017-12-05 17:12:23.495+00;2017-12-05 17:12:23.495+00;45
