id;value;createdAt;updatedAt;ingredientId;nutrientId
7;30;2017-12-05 18:11:30.339+00;2017-12-05 18:11:30.339+00;1;48
12;4;2017-12-05 18:11:30.34+00;2017-12-05 18:11:30.34+00;1;56
15;11;2017-12-05 18:11:30.341+00;2017-12-05 18:11:30.341+00;1;58
23;100;2017-12-05 18:11:30.343+00;2017-12-05 18:11:30.343+00;1;1
27;1825;2017-12-05 18:11:30.344+00;2017-12-05 18:11:30.344+00;1;60
31;160;2017-12-05 18:11:30.345+00;2017-12-05 18:11:30.345+00;1;59
34;0.065;2017-12-05 18:11:30.346+00;2017-12-05 18:11:30.346+00;1;53
46;5.5;2017-12-05 18:11:30.349+00;2017-12-05 18:11:30.349+00;1;50
49;1.5;2017-12-05 18:11:30.35+00;2017-12-05 18:11:30.35+00;1;54
55;0.0575;2017-12-05 18:11:30.352+00;2017-12-05 18:11:30.352+00;1;51
60;0.5;2017-12-05 18:11:30.353+00;2017-12-05 18:11:30.353+00;1;55
61;1;2017-12-05 18:11:30.353+00;2017-12-05 18:11:30.353+00;1;62
81;30.2;2017-12-05 18:11:34.523+00;2017-12-05 18:11:34.523+00;2;9
83;0.71;2017-12-05 18:11:34.524+00;2017-12-05 18:11:34.524+00;2;31
84;0.37;2017-12-05 18:11:34.524+00;2017-12-05 18:11:34.524+00;2;36
86;0.54;2017-12-05 18:11:34.525+00;2017-12-05 18:11:34.525+00;2;69
87;1.53;2017-12-05 18:11:34.525+00;2017-12-05 18:11:34.525+00;2;48
88;24;2017-12-05 18:11:34.525+00;2017-12-05 18:11:34.525+00;2;4
90;1401;2017-12-05 18:11:34.526+00;2017-12-05 18:11:34.526+00;2;70
91;0.47;2017-12-05 18:11:34.526+00;2017-12-05 18:11:34.526+00;2;49
92;0.3;2017-12-05 18:11:34.526+00;2017-12-05 18:11:34.526+00;2;56
93;17.1;2017-12-05 18:11:34.527+00;2017-12-05 18:11:34.527+00;2;2
95;10;2017-12-05 18:11:34.527+00;2017-12-05 18:11:34.527+00;2;58
96;0.18;2017-12-05 18:11:34.528+00;2017-12-05 18:11:34.528+00;2;38
97;2.49;2017-12-05 18:11:34.528+00;2017-12-05 18:11:34.528+00;2;15
98;2.28;2017-12-05 18:11:34.528+00;2017-12-05 18:11:34.528+00;2;16
99;2.49;2017-12-05 18:11:34.528+00;2017-12-05 18:11:34.528+00;2;17
100;2.16;2017-12-05 18:11:34.529+00;2017-12-05 18:11:34.529+00;2;18
101;1.83;2017-12-05 18:11:34.529+00;2017-12-05 18:11:34.529+00;2;19
102;2.28;2017-12-05 18:11:34.529+00;2017-12-05 18:11:34.529+00;2;20
103;92;2017-12-05 18:11:34.529+00;2017-12-05 18:11:34.529+00;2;1
104;2.8;2017-12-05 18:11:34.53+00;2017-12-05 18:11:34.53+00;2;5
105;2.8;2017-12-05 18:11:34.53+00;2017-12-05 18:11:34.53+00;2;6
106;6;2017-12-05 18:11:34.53+00;2017-12-05 18:11:34.53+00;2;11
107;333;2017-12-05 18:11:34.53+00;2017-12-05 18:11:34.53+00;2;60
108;4.36;2017-12-05 18:11:34.531+00;2017-12-05 18:11:34.531+00;2;71
109;0.82;2017-12-05 18:11:34.531+00;2017-12-05 18:11:34.531+00;2;46
110;0.37;2017-12-05 18:11:34.531+00;2017-12-05 18:11:34.531+00;2;32
111;0.15;2017-12-05 18:11:34.532+00;2017-12-05 18:11:34.532+00;2;59
113;0.68;2017-12-05 18:11:34.532+00;2017-12-05 18:11:34.532+00;2;33
114;2.3;2017-12-05 18:11:34.532+00;2017-12-05 18:11:34.532+00;2;53
115;1.21;2017-12-05 18:11:34.533+00;2017-12-05 18:11:34.533+00;2;34
116;0.35;2017-12-05 18:11:34.533+00;2017-12-05 18:11:34.533+00;2;7
117;0.74;2017-12-05 18:11:34.533+00;2017-12-05 18:11:34.533+00;2;35
118;0.963;2017-12-05 18:11:34.533+00;2017-12-05 18:11:34.533+00;2;22
119;2.06;2017-12-05 18:11:34.534+00;2017-12-05 18:11:34.534+00;2;21
120;0.963;2017-12-05 18:11:34.534+00;2017-12-05 18:11:34.534+00;2;23
121;0.865;2017-12-05 18:11:34.534+00;2017-12-05 18:11:34.534+00;2;24
122;1.65;2017-12-05 18:11:34.534+00;2017-12-05 18:11:34.534+00;2;25
123;1.51;2017-12-05 18:11:34.535+00;2017-12-05 18:11:34.535+00;2;26
124;1.88;2017-12-05 18:11:34.535+00;2017-12-05 18:11:34.535+00;2;27
125;0.25;2017-12-05 18:11:34.535+00;2017-12-05 18:11:34.535+00;2;37
126;0.23;2017-12-05 18:11:34.536+00;2017-12-05 18:11:34.536+00;2;50
127;32;2017-12-05 18:11:34.536+00;2017-12-05 18:11:34.536+00;2;61
128;2.5;2017-12-05 18:11:34.536+00;2017-12-05 18:11:34.536+00;2;64
129;0.1;2017-12-05 18:11:34.536+00;2017-12-05 18:11:34.536+00;2;54
130;41.2;2017-12-05 18:11:34.537+00;2017-12-05 18:11:34.537+00;2;10
131;0.73;2017-12-05 18:11:34.537+00;2017-12-05 18:11:34.537+00;2;29
132;1.25;2017-12-05 18:11:34.537+00;2017-12-05 18:11:34.537+00;2;30
133;1.27;2017-12-05 18:11:34.537+00;2017-12-05 18:11:34.537+00;2;28
134;38;2017-12-05 18:11:34.538+00;2017-12-05 18:11:34.538+00;2;72
135;0.26;2017-12-05 18:11:34.538+00;2017-12-05 18:11:34.538+00;2;51
136;29;2017-12-05 18:11:34.538+00;2017-12-05 18:11:34.538+00;2;73
137;0.84;2017-12-05 18:11:34.538+00;2017-12-05 18:11:34.538+00;2;39
139;53.7;2017-12-05 18:11:34.539+00;2017-12-05 18:11:34.539+00;2;3
140;0.29;2017-12-05 18:11:34.539+00;2017-12-05 18:11:34.539+00;2;55
141;0.34;2017-12-05 18:11:34.539+00;2017-12-05 18:11:34.539+00;2;62
142;0.72;2017-12-05 18:11:34.541+00;2017-12-05 18:11:34.541+00;2;47
144;55;2017-12-05 18:11:34.541+00;2017-12-05 18:11:34.541+00;2;12
145;55.6;2017-12-05 18:11:34.541+00;2017-12-05 18:11:34.541+00;2;13
146;55;2017-12-05 18:11:34.541+00;2017-12-05 18:11:34.541+00;2;14
147;0.7;2017-12-05 18:11:34.541+00;2017-12-05 18:11:34.541+00;2;43
148;0.24;2017-12-05 18:11:34.541+00;2017-12-05 18:11:34.541+00;2;44
149;0.55;2017-12-05 18:11:34.543+00;2017-12-05 18:11:34.543+00;2;42
150;0.86;2017-12-05 18:11:34.543+00;2017-12-05 18:11:34.543+00;2;45
151;94.6;2017-12-05 18:11:34.543+00;2017-12-05 18:11:34.543+00;2;65
152;3.39;2017-12-05 18:11:34.543+00;2017-12-05 18:11:34.543+00;2;74
154;13.6;2017-12-05 18:11:34.544+00;2017-12-05 18:11:34.544+00;2;75
155;6.5;2017-12-05 18:11:34.544+00;2017-12-05 18:11:34.544+00;2;76
158;49.8;2017-12-05 18:11:34.545+00;2017-12-05 18:11:34.545+00;2;67
159;8.2;2017-12-05 18:11:34.547+00;2017-12-05 18:11:34.547+00;2;68
160;24;2017-12-05 18:11:34.547+00;2017-12-05 18:11:34.547+00;2;63
161;26.4;2017-12-05 18:11:37.975+00;2017-12-05 18:11:37.975+00;3;9
163;0.91;2017-12-05 18:11:37.976+00;2017-12-05 18:11:37.976+00;3;31
164;0.45;2017-12-05 18:11:37.976+00;2017-12-05 18:11:37.976+00;3;36
166;0.54;2017-12-05 18:11:37.976+00;2017-12-05 18:11:37.976+00;3;69
167;1.61;2017-12-05 18:11:37.977+00;2017-12-05 18:11:37.977+00;3;48
168;20.8;2017-12-05 18:11:37.977+00;2017-12-05 18:11:37.977+00;3;4
170;1418;2017-12-05 18:11:37.977+00;2017-12-05 18:11:37.977+00;3;70
171;0.47;2017-12-05 18:11:37.977+00;2017-12-05 18:11:37.977+00;3;49
172;0.26;2017-12-05 18:11:37.978+00;2017-12-05 18:11:37.978+00;3;56
173;19.6;2017-12-05 18:11:37.978+00;2017-12-05 18:11:37.978+00;3;2
175;11;2017-12-05 18:11:37.978+00;2017-12-05 18:11:37.978+00;3;58
176;0.26;2017-12-05 18:11:37.979+00;2017-12-05 18:11:37.979+00;3;38
177;2.57;2017-12-05 18:11:37.979+00;2017-12-05 18:11:37.979+00;3;15
178;2.38;2017-12-05 18:11:37.979+00;2017-12-05 18:11:37.979+00;3;16
179;2.57;2017-12-05 18:11:37.979+00;2017-12-05 18:11:37.979+00;3;17
180;2.07;2017-12-05 18:11:37.979+00;2017-12-05 18:11:37.979+00;3;18
181;2.095;2017-12-05 18:11:37.98+00;2017-12-05 18:11:37.98+00;3;19
182;2.38;2017-12-05 18:11:37.98+00;2017-12-05 18:11:37.98+00;3;20
183;92;2017-12-05 18:11:37.98+00;2017-12-05 18:11:37.98+00;3;1
184;3.3;2017-12-05 18:11:37.98+00;2017-12-05 18:11:37.98+00;3;5
185;3.3;2017-12-05 18:11:37.981+00;2017-12-05 18:11:37.981+00;3;6
186;6;2017-12-05 18:11:37.981+00;2017-12-05 18:11:37.981+00;3;11
187;346;2017-12-05 18:11:37.981+00;2017-12-05 18:11:37.981+00;3;60
