id;description;name;userName;createdAt;updatedAt;ingredientGroupId
1;;Acid Buffer, Calcified Seaweed;;2017-12-05 18:11:30.146+00;2017-12-05 18:11:30.146+00;1
2;;Alfalfa Hay, Dehydrated, 17% Crude Protein;;2017-12-05 18:11:34.342+00;2017-12-05 18:11:34.342+00;2
3;;Alfalfa Hay, Dehydrated, 20% Crude Protein;;2017-12-05 18:11:37.785+00;2017-12-05 18:11:37.785+00;2
4;;Alfalfa Hay, Early Bloom;;2017-12-05 18:11:41.268+00;2017-12-05 18:11:41.268+00;2
5;;Alfalfa Hay, Full Bloom;;2017-12-05 18:11:44.719+00;2017-12-05 18:11:44.719+00;2
6;;Alfalfa Hay, Late/Post Bloom;;2017-12-05 18:11:48.217+00;2017-12-05 18:11:48.217+00;2
7;;Alfalfa Hay, Mid Bloom;;2017-12-05 18:11:51.688+00;2017-12-05 18:11:51.688+00;2
8;;Alfalfa Hay, Pre Bloom;;2017-12-05 18:11:55.053+00;2017-12-05 18:11:55.053+00;2
9;;Alfalfa Hay, Very Little Or No Leaves;;2017-12-05 18:11:58.439+00;2017-12-05 18:11:58.439+00;2
10;;Alfalfa Silage, Early Bloom;;2017-12-05 18:12:02.024+00;2017-12-05 18:12:02.024+00;3
11;;Alfalfa Silage, Full Bloom;;2017-12-05 18:12:05.448+00;2017-12-05 18:12:05.448+00;3
12;;Alfalfa Silage, Mid Bloom;;2017-12-05 18:12:08.812+00;2017-12-05 18:12:08.812+00;3
13;;Alfalfa, Fresh;;2017-12-05 18:12:12.246+00;2017-12-05 18:12:12.246+00;3
14;;Ammonium Chloride;;2017-12-05 18:12:15.794+00;2017-12-05 18:12:15.794+00;4
15;;Ammonium Sulphate;;2017-12-05 18:12:19.224+00;2017-12-05 18:12:19.224+00;4
16;;Anchovy Oil;;2017-12-05 18:12:22.767+00;2017-12-05 18:12:22.767+00;5
17;;Arginine, As DL-Arginine Hydrochloride;;2017-12-05 18:12:26.367+00;2017-12-05 18:12:26.367+00;6
18;;Arginine, As L-Arginine Monohydrochloride;;2017-12-05 18:12:29.797+00;2017-12-05 18:12:29.797+00;6
19;;Bakery Waste, Dehydrated;;2017-12-05 18:12:33.365+00;2017-12-05 18:12:33.365+00;7
20;;Barley Grain, Steam Flaked;;2017-12-05 18:12:36.823+00;2017-12-05 18:12:36.823+00;7
21;;Barley Grain, Steam Rolled;;2017-12-05 18:12:40.194+00;2017-12-05 18:12:40.194+00;7
22;;Barley Silage, Dough;;2017-12-05 18:12:43.581+00;2017-12-05 18:12:43.581+00;3
23;;Barley Straw;;2017-12-05 18:12:46.924+00;2017-12-05 18:12:46.924+00;2
24;;Barley, Grain;;2017-12-05 18:12:50.255+00;2017-12-05 18:12:50.255+00;7
25;;Barley, Grain, Hulless;;2017-12-05 18:12:53.613+00;2017-12-05 18:12:53.613+00;7
26;;Beef Tallow;;2017-12-05 18:12:57.001+00;2017-12-05 18:12:57.001+00;5
27;;Beet Pulp (Sugar), Dried;;2017-12-05 18:13:00.311+00;2017-12-05 18:13:00.311+00;7
28;;BIO-COX (SAL-Na), 120kg/Ton;;2017-12-05 18:13:03.668+00;2017-12-05 18:13:03.668+00;1
29;;Biotin (Vitamin H2) 2.0%;;2017-12-05 18:13:07.133+00;2017-12-05 18:13:07.133+00;8
30;;Biuret;;2017-12-05 18:13:10.421+00;2017-12-05 18:13:10.421+00;4
31;;Blood Meal, Conventional;;2017-12-05 18:13:13.968+00;2017-12-05 18:13:13.968+00;9
32;;Blood Meal, Flash Dried;;2017-12-05 18:13:17.329+00;2017-12-05 18:13:17.329+00;9
33;;Blood Meal, Spray Or Ring Dried;;2017-12-05 18:13:20.684+00;2017-12-05 18:13:20.684+00;9
34;;Bluegrass Hay;;2017-12-05 18:13:24.027+00;2017-12-05 18:13:24.027+00;2
35;;Bluegrass, Fresh;;2017-12-05 18:13:27.409+00;2017-12-05 18:13:27.409+00;3
36;;Brewer's Yeast, Dehydrated;;2017-12-05 18:13:30.75+00;2017-12-05 18:13:30.75+00;9
37;;Brewers (Distillers) Grain, Dry;;2017-12-05 18:13:34.129+00;2017-12-05 18:13:34.129+00;9
38;;Brome Hay;;2017-12-05 18:13:37.399+00;2017-12-05 18:13:37.399+00;2
39;;Brome, Fresh;;2017-12-05 18:13:40.735+00;2017-12-05 18:13:40.735+00;3
40;;Buckwheat Grain;;2017-12-05 18:13:44.061+00;2017-12-05 18:13:44.061+00;7
41;;Butter;;2017-12-05 18:13:47.311+00;2017-12-05 18:13:47.311+00;5
42;;Ca And P, As Di-Calcium Phosphate;;2017-12-05 18:13:50.754+00;2017-12-05 18:13:50.754+00;10
43;;Ca And P, As Mono-Calcium Phosphate;;2017-12-05 18:13:54.122+00;2017-12-05 18:13:54.122+00;10
44;;Ca And P, As Steamed Bone Meal;;2017-12-05 18:13:57.379+00;2017-12-05 18:13:57.379+00;10
45;;Ca, As Pure Calcium Carbonate;;2017-12-05 18:14:00.735+00;2017-12-05 18:14:00.735+00;10
46;;Ca, As Dolomitic Limestone;;2017-12-05 18:14:04.07+00;2017-12-05 18:14:04.07+00;10
47;;Ca, As Ground Limestone;;2017-12-05 18:14:06.245+00;2017-12-05 18:14:06.245+00;10
48;;Canary Grass Hay;;2017-12-05 18:14:09.577+00;2017-12-05 18:14:09.577+00;2
49;;Canola (Rapeseed) Oil;;2017-12-05 18:14:12.882+00;2017-12-05 18:14:12.882+00;5
50;;Canola Meal;;2017-12-05 18:14:16.253+00;2017-12-05 18:14:16.253+00;9
51;;Casein, Dehydrated;;2017-12-05 18:14:19.64+00;2017-12-05 18:14:19.64+00;9
52;;Cassava (Tapioca) Meal, Solv Extr.;;2017-12-05 18:14:23.065+00;2017-12-05 18:14:23.065+00;7
53;;Choice White Grease;;2017-12-05 18:14:26.49+00;2017-12-05 18:14:26.49+00;5
54;;Cholest, As Feed Grade Cholesterol;;2017-12-05 18:14:29.803+00;2017-12-05 18:14:29.803+00;1
55;;Choline, As Choline Chloride (Vitamin B4) 50%;;2017-12-05 18:14:33.164+00;2017-12-05 18:14:33.164+00;8
56;;Choline, As Choline Chloride (Vitamin B4) 60%;;2017-12-05 18:14:36.562+00;2017-12-05 18:14:36.562+00;8
57;;Citrus Pulp, Dehydrated;;2017-12-05 18:14:39.899+00;2017-12-05 18:14:39.899+00;7
58;;Clover Hay, Landino;;2017-12-05 18:14:42.218+00;2017-12-05 18:14:42.218+00;2
59;;Clover Hay, Red;;2017-12-05 18:14:45.612+00;2017-12-05 18:14:45.612+00;2
60;;Clover Landino, Fresh;;2017-12-05 18:14:48.915+00;2017-12-05 18:14:48.915+00;3
61;;Co, From Cobalt Carbonate;;2017-12-05 18:14:52.603+00;2017-12-05 18:14:52.603+00;11
62;;Co, From Cobalt Carbonate Hexahydrate;;2017-12-05 18:14:55.913+00;2017-12-05 18:14:55.913+00;11
63;;Co, From Cobalt Dicloride Hexahydrate;;2017-12-05 18:14:59.28+00;2017-12-05 18:14:59.28+00;11
64;;Coconut (Copra) Meal, Mech Extr.;;2017-12-05 18:15:02.704+00;2017-12-05 18:15:02.704+00;9
65;;Coconut (Copra) Meal, Solv Extr.;;2017-12-05 18:15:06.229+00;2017-12-05 18:15:06.229+00;9
66;;Coconut Oil;;2017-12-05 18:15:09.727+00;2017-12-05 18:15:09.727+00;5
67;;Corn & Cob Meal;;2017-12-05 18:15:13.144+00;2017-12-05 18:15:13.144+00;2
68;;Corn Gluten, 22% Crude Protein;;2017-12-05 18:15:14.813+00;2017-12-05 18:15:14.813+00;9
69;;Corn Gluten, 43% Crude Protein;;2017-12-05 18:15:18.309+00;2017-12-05 18:15:18.309+00;9
70;;Corn Gluten, 60% Crude Protein;;2017-12-05 18:15:22.313+00;2017-12-05 18:15:22.313+00;9
71;;Corn Grain (Maize), White;;2017-12-05 18:15:25.687+00;2017-12-05 18:15:25.687+00;7
72;;Corn Grain (Maize), Yellow;;2017-12-05 18:15:29.104+00;2017-12-05 18:15:29.104+00;7
73;;Corn Grain, White, Flaked;;2017-12-05 18:15:32.603+00;2017-12-05 18:15:32.603+00;7
74;;Corn Grain, White, Rolled;;2017-12-05 18:15:35.919+00;2017-12-05 18:15:35.919+00;7
75;;Corn Grain, Yellow, Flaked;;2017-12-05 18:15:39.309+00;2017-12-05 18:15:39.309+00;7
76;;Corn Grain, Yellow, Rolled;;2017-12-05 18:15:42.76+00;2017-12-05 18:15:42.76+00;7
77;;Corn Oil;;2017-12-05 18:15:46.148+00;2017-12-05 18:15:46.148+00;5
78;;Corn Silage, Grain, 25% Mature;;2017-12-05 18:15:49.42+00;2017-12-05 18:15:49.42+00;3
79;;Corn Silage, Grain, 35% Mature;;2017-12-05 18:15:52.714+00;2017-12-05 18:15:52.714+00;3
80;;Corn Silage, Grain, 45% Mature;;2017-12-05 18:15:56.077+00;2017-12-05 18:15:56.077+00;3
81;;Corn, Grits By Product (Hominy Feed);;2017-12-05 18:15:59.454+00;2017-12-05 18:15:59.454+00;7
82;;Cottonseed Hulls;;2017-12-05 18:16:03.036+00;2017-12-05 18:16:03.036+00;2
83;;Cottonseed O/C Meal, Mech Extr.;;2017-12-05 18:16:06.384+00;2017-12-05 18:16:06.384+00;9
84;;Cottonseed O/C Meal, Solv Extr.;;2017-12-05 18:16:09.744+00;2017-12-05 18:16:09.744+00;9
85;;Cottonseed Oil;;2017-12-05 18:16:13.084+00;2017-12-05 18:16:13.084+00;5
86;;Cottonseed, Delinted & Ground;;2017-12-05 18:16:16.529+00;2017-12-05 18:16:16.529+00;9
87;;Cottonseed, Whole;;2017-12-05 18:16:20.01+00;2017-12-05 18:16:20.01+00;9
88;;Cottonseed, Whole, Extruded;;2017-12-05 18:16:23.38+00;2017-12-05 18:16:23.38+00;9
89;;Cr, From Chromium Nicotinate;;2017-12-05 18:16:26.748+00;2017-12-05 18:16:26.748+00;11
90;;Cr, From Chromium Picolinate;;2017-12-05 18:16:30.043+00;2017-12-05 18:16:30.043+00;11
91;;Cr, From Chromium Yeast;;2017-12-05 18:16:33.336+00;2017-12-05 18:16:33.336+00;11
92;;Crab Meal;;2017-12-05 18:16:36.956+00;2017-12-05 18:16:36.956+00;9
93;;Crawfish Waste Meal;;2017-12-05 18:16:37.519+00;2017-12-05 18:16:37.519+00;9
94;;Cu, From Cupric Chloride Dihydrate;;2017-12-05 18:16:40.82+00;2017-12-05 18:16:40.82+00;11
95;;Cu, From Cupric Oxide;;2017-12-05 18:16:44.13+00;2017-12-05 18:16:44.13+00;11
96;;Cu, From Cupric Sulphate Pentahydrate;;2017-12-05 18:16:47.365+00;2017-12-05 18:16:47.365+00;11
97;;Cys, As Cystine Or DL-Cystine;;2017-12-05 18:16:50.608+00;2017-12-05 18:16:50.608+00;6
