id;description;maximum;minimum;createdAt;updatedAt;dietGroupId;ingredientId
1;;2;2;2017-12-05 18:26:21.779+00;2017-12-05 18:26:21.779+00;46;153
2;;3;3;2017-12-05 18:26:24.424+00;2017-12-05 18:26:24.424+00;38;153
3;;3;3;2017-12-05 18:26:27.061+00;2017-12-05 18:26:27.061+00;14;153
4;;3;3;2017-12-05 18:26:29.73+00;2017-12-05 18:26:29.73+00;10;153
5;;3;3;2017-12-05 18:26:32.393+00;2017-12-05 18:26:32.393+00;18;153
6;;3;3;2017-12-05 18:26:35.009+00;2017-12-05 18:26:35.009+00;30;153
7;;3;3;2017-12-05 18:26:37.616+00;2017-12-05 18:26:37.616+00;42;153
8;;3;3;2017-12-05 18:26:40.223+00;2017-12-05 18:26:40.223+00;34;153
9;;2;2;2017-12-05 18:26:43.534+00;2017-12-05 18:26:43.534+00;22;153
10;;2;2;2017-12-05 18:26:46.15+00;2017-12-05 18:26:46.15+00;46;154
11;;3;3;2017-12-05 18:26:48.77+00;2017-12-05 18:26:48.77+00;38;154
12;;3;3;2017-12-05 18:26:51.375+00;2017-12-05 18:26:51.375+00;14;154
13;;3;3;2017-12-05 18:26:53.989+00;2017-12-05 18:26:53.989+00;10;154
14;;3;3;2017-12-05 18:26:56.604+00;2017-12-05 18:26:56.604+00;18;154
15;;3;3;2017-12-05 18:26:59.208+00;2017-12-05 18:26:59.208+00;30;154
16;;3;3;2017-12-05 18:27:01.816+00;2017-12-05 18:27:01.816+00;42;154
17;;3;3;2017-12-05 18:27:04.428+00;2017-12-05 18:27:04.428+00;34;154
18;;2;2;2017-12-05 18:27:07.737+00;2017-12-05 18:27:07.737+00;22;154
237;;4;4;2017-12-05 18:31:42.529+00;2017-12-05 18:31:42.529+00;90;153
238;;4;4;2017-12-05 18:31:44.441+00;2017-12-05 18:31:44.441+00;69;153
239;;4;4;2017-12-05 18:31:45.657+00;2017-12-05 18:31:45.657+00;79;153
240;;4;4;2017-12-05 18:31:46.531+00;2017-12-05 18:31:46.531+00;116;153
241;;4;4;2017-12-05 18:31:47.751+00;2017-12-05 18:31:47.751+00;50;153
242;;4;4;2017-12-05 18:31:49.135+00;2017-12-05 18:31:49.135+00;5;153
243;;4;4;2017-12-05 18:31:50.006+00;2017-12-05 18:31:50.006+00;150;153
244;;4;4;2017-12-05 18:31:50.88+00;2017-12-05 18:31:50.88+00;144;153
245;;4;4;2017-12-05 18:31:52.271+00;2017-12-05 18:31:52.271+00;83;153
246;;4;4;2017-12-05 18:31:53.486+00;2017-12-05 18:31:53.486+00;103;153
247;;4;4;2017-12-05 18:31:54.357+00;2017-12-05 18:31:54.357+00;119;153
248;;4;4;2017-12-05 18:31:55.234+00;2017-12-05 18:31:55.234+00;1;153
249;;4;4;2017-12-05 18:31:55.936+00;2017-12-05 18:31:55.936+00;26;153
360;;4;4;2017-12-05 18:34:11.644+00;2017-12-05 18:34:11.644+00;90;154
361;;4;4;2017-12-05 18:34:13.566+00;2017-12-05 18:34:13.566+00;69;154
362;;4;4;2017-12-05 18:34:14.791+00;2017-12-05 18:34:14.791+00;79;154
363;;4;4;2017-12-05 18:34:15.665+00;2017-12-05 18:34:15.665+00;116;154
364;;4;4;2017-12-05 18:34:16.88+00;2017-12-05 18:34:16.88+00;50;154
