Group 1,Group 2,Group 3,Group 4,Name,Nutrient,Minimum,Maximum
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Ca,0.38,0.76
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Ca,0.38,0.76
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,CF,12,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,CF,12,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Cl,0.4,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Cl,0.4,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Co,0,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Co,0.1,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,CP,11,12
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,CP,11,12
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Cu,0,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Cu,9,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,DECamelids,2.97,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,DECamelids,2.97,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Fe,0,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Fe,40,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,I,0,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,I,0.4,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,K,0.6,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,K,0.6,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Mg,0.15,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Mg,0.15,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Mn,0,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Mn,30,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Mo,0,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Mo,0.5,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Na,0.13,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Na,0.13,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,NDF,0,35
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,NDF,0,35
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,P,0.19,0.38
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,P,0.19,0.38
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,RUP,3,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,RUP,3,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,S,0,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,S,0.18,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Se,0,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Se,0.2,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,TDNCamelids,68.4,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,TDNCamelids,68.4,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Vit A,0,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Vit A,2000,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Vit D,0,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Vit D,1500,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Vit E,0,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Vit E,15,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Finisher ration,Zn,0,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Finisher ration,Zn,27,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Ca,0.35,0.7
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Ca,0.35,0.7
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,CF,14,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,CF,14,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Cl,0.4,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Cl,0.4,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Co,0,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Co,0.15,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,CP,10.5,11.5
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,CP,10.5,11.5
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Cu,0,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Cu,10,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,DECamelids,2.52,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,DECamelids,2.52,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,EE,0,100
