Group 1,Group 2,Feedstuff,Minimum,Maximum
Poultry,Broilers,"Na and Cl, as Salt",2,2
Poultry,Geese,"Na and Cl, as Salt",3,3
Poultry,Ostriches,"Na and Cl, as Salt",3,3
Poultry,Quail,"Na and Cl, as Salt",3,3
Poultry,Emus,"Na and Cl, as Salt",3,3
Poultry,Turkeys,"Na and Cl, as Salt",3,3
Poultry,Pheasants,"Na and Cl, as Salt",3,3
Poultry,Ducks,"Na and Cl, as Salt",3,3
Poultry,Chickens,"Na and Cl, as Salt",2,2
Poultry,Broilers,"Na, Cl and I, as Iodized salt",2,2
Poultry,Geese,"Na, Cl and I, as Iodized salt",3,3
Poultry,Ostriches,"Na, Cl and I, as Iodized salt",3,3
Poultry,Quail,"Na, Cl and I, as Iodized salt",3,3
Poultry,Emus,"Na, Cl and I, as Iodized salt",3,3
Poultry,Turkeys,"Na, Cl and I, as Iodized salt",3,3
Poultry,Pheasants,"Na, Cl and I, as Iodized salt",3,3
Poultry,Ducks,"Na, Cl and I, as Iodized salt",3,3
Poultry,Chickens,"Na, Cl and I, as Iodized salt",2,2
Game,Large Antelope,Urea 46% Nitrogen,0,4
Game,Zebra,Urea 46% Nitrogen,0,0
Game,Small Antelope,Urea 46% Nitrogen,0,4
Game,Deer,Urea 46% Nitrogen,0,4
Game,Large Antelope,Biuret,0,4
Game,Zebra,Biuret,0,0
Game,Small Antelope,Biuret,0,4
Game,Deer,Biuret,0,4
,Sheep,"Blood meal, conventional",0,80
,Beef Cattle,"Blood meal, conventional",0,80
,Poultry,"Blood meal, conventional",0,80
,Goats,"Blood meal, conventional",0,80
,Cats,"Blood meal, conventional",0,80
,Fish,"Blood meal, conventional",0,80
,Pigs,"Blood meal, conventional",0,80
,Horses,"Blood meal, conventional",0,80
,Rabbits,"Blood meal, conventional",0,80
,Dairy Cattle,"Blood meal, conventional",0,80
,Game,"Blood meal, conventional",0,80
,Dogs,"Blood meal, conventional",0,80
,Alpacas and Llamas,"Blood meal, conventional",0,80
,Pigeons,"Blood meal, conventional",0,80
,Sheep,Soybean oil,0,100
,Beef Cattle,Soybean oil,0,100
,Poultry,Soybean oil,0,100
,Goats,Soybean oil,0,100
,Cats,Soybean oil,0,100
,Fish,Soybean oil,0,100
,Pigs,Soybean oil,0,100
,Horses,Soybean oil,0,100
,Rabbits,Soybean oil,0,100
,Dairy Cattle,Soybean oil,0,100
,Game,Soybean oil,0,100
,Dogs,Soybean oil,0,100
,Alpacas and Llamas,Soybean oil,0,100
,Pigeons,Soybean oil,0,100
,Sheep,Palm Kernel oil,0,100
,Beef Cattle,Palm Kernel oil,0,100
,Poultry,Palm Kernel oil,0,100
,Goats,Palm Kernel oil,0,100
,Cats,Palm Kernel oil,0,100
,Fish,Palm Kernel oil,0,100
,Pigs,Palm Kernel oil,0,100
,Horses,Palm Kernel oil,0,100
,Rabbits,Palm Kernel oil,0,100
,Dairy Cattle,Palm Kernel oil,0,100
,Game,Palm Kernel oil,0,100
,Dogs,Palm Kernel oil,0,100
,Alpacas and Llamas,Palm Kernel oil,0,100
,Pigeons,Palm Kernel oil,0,100
,Sheep,Coconut oil,0,100
,Beef Cattle,Coconut oil,0,100
,Poultry,Coconut oil,0,100
,Goats,Coconut oil,0,100
,Cats,Coconut oil,0,100
,Fish,Coconut oil,0,100
,Pigs,Coconut oil,0,100
,Horses,Coconut oil,0,100
,Rabbits,Coconut oil,0,100
,Dairy Cattle,Coconut oil,0,100
,Game,Coconut oil,0,100
,Dogs,Coconut oil,0,100
,Alpacas and Llamas,Coconut oil,0,100
,Pigeons,Coconut oil,0,100
,Sheep,Sesame oil,0,100
,Beef Cattle,Sesame oil,0,100
,Poultry,Sesame oil,0,100
,Goats,Sesame oil,0,100
,Cats,Sesame oil,0,100
,Fish,Sesame oil,0,100
