id;value;ingredientId;nutrientId
1;0;1;9
2;0;1;8
3;0;1;31
4;0;1;36
5;0;1;52
6;0;1;69
7;30;1;48
8;0;1;4
9;0;1;80
10;0;1;70
11;0;1;49
12;4;1;56
13;0;1;2
14;0;1;57
15;11;1;58
16;0;1;38
17;0;1;15
18;0;1;16
19;0;1;17
20;0;1;18
21;0;1;19
22;0;1;20
23;100;1;1
24;0;1;5
25;0;1;6
26;0;1;11
27;1825;1;60
28;0;1;71
29;0;1;46
30;0;1;32
31;160;1;59
32;0;1;79
33;0;1;33
34;0.065;1;53
35;0;1;34
36;0;1;7
37;0;1;35
38;0;1;22
39;0;1;21
40;0;1;23
41;0;1;24
42;0;1;25
43;0;1;26
44;0;1;27
45;0;1;37
46;5.5;1;50
47;0;1;61
48;0;1;64
49;1.5;1;54
50;0;1;10
51;0;1;29
52;0;1;30
53;0;1;28
54;0;1;72
55;0.0575;1;51
56;0;1;73
57;0;1;39
58;0;1;3
59;0;1;40
60;0.5;1;55
61;1;1;62
62;0;1;47
63;0;1;41
64;0;1;12
65;0;1;13
66;0;1;14
67;0;1;43
68;0;1;44
69;0;1;42
70;0;1;45
71;0;1;65
72;0;1;74
73;0;1;77
74;0;1;75
75;0;1;76
76;0;1;78
77;0;1;66
78;0;1;67
79;0;1;68
80;0;1;63
81;0;2;8
82;30.2;2;9
83;0.71;2;31
84;0.37;2;36
85;0;2;52
86;0.54;2;69
87;1.53;2;48
88;24;2;4
89;1401;2;70
90;0;2;80
91;0.47;2;49
92;0.3;2;56
93;17.1;2;2
94;0;2;57
95;10;2;58
96;0.18;2;38
97;2.49;2;15
98;2.28;2;16
99;2.49;2;17
100;2.28;2;20
101;2.16;2;18
102;1.83;2;19
103;92;2;1
104;2.8;2;5
105;6;2;11
106;2.8;2;6
107;333;2;60
108;4.36;2;71
109;0.82;2;46
110;0.37;2;32
111;0.15;2;59
112;0;2;79
113;0.68;2;33
114;2.3;2;53
115;0.35;2;7
116;1.21;2;34
117;0.74;2;35
118;0.963;2;22
119;2.06;2;21
120;0.963;2;23
121;0.865;2;24
127;32;2;61
131;0.73;2;29
135;0.26;2;51
141;0.34;2;62
146;55.6;2;13
151;94.6;2;65
155;6.5;2;76
162;0.45;3;36
167;1.61;3;48
181;2.095;3;19
186;6;3;11
190;0.38;3;32
195;1.4;3;34
200;1.035;3;23
205;0.34;3;37
210;38.8;3;10
215;0.28;3;51
220;0.26;3;55
225;57.4;3;13
231;94.6;3;65
236;0;3;78
242;0.36;4;36
247;1.41;4;48
253;17;4;2
259;2.42;4;17
264;2.25;4;5
269;0.8;4;46
274;1.42;4;53
279;1.99;4;21
284;1.75;4;27
289;0.15;4;54
294;34;4;72
299;18;4;3
305;54.6;4;13
310;0.84;4;45
315;7;4;76
320;28.09;4;63
323;0.45;5;31
327;0;5;80
334;0;5;57
338;2.02;5;16
343;1.76;5;5
349;0.52;5;46
353;0.44;5;33
358;0.95;5;22
362;1.06;5;25
367;28;5;61
372;1.1;5;30
377;0.54;5;39
382;0.46;5;47
387;0.45;5;43
392;3.1;5;74
397;0;5;66
405;0;6;52
409;1335;6;70
412;0.3;6;56
417;2.23;6;15
422;2;6;20
427;250;6;60
432;0;6;79
436;0.2;6;7
441;0.859;6;24
446;0.3;6;50
451;0.37;6;29
456;28.7;6;73
461;0;6;62
466;43.4;6;14
471;27;6;65
476;0;6;78
484;0.3;7;36
489;0;7;80
495;11.3;7;58
499;2.33;7;17
504;2.047;7;5
509;0.66;7;46
514;2.51;7;53
519;1.9;7;21
524;1.7;7;27
529;0.14;7;54
533;1.1;7;28
537;0.67;7;39
542;0.58;7;47
547;0.56;7;43
552;3.2;7;74
556;0;7;66
564;0.35;8;36
568;20.7;8;4
574;18.4;8;2
578;2.22;8;17
582;2.4;8;20
587;204.6;8;60
592;0;8;79
597;0.7;8;35
601;0.859;8;24
606;0.32;8;50
611;0.75;8;29
620;0.26;8;55
625;56.7;8;13
630;0.81;8;45
634;9.6;8;75
638;100;8;67
642;0;9;8
649;0;9;80
655;9.5;9;58
660;1.93;9;17
664;1.16;9;5
669;0;9;46
673;0;9;33
677;0.95;9;22
684;1.55;9;27
689;0.1;9;54
694;36.5;9;72
698;39.2;9;3
702;0;9;47
707;0;9;43
712;3;9;74
717;0;9;66
725;0;10;36
730;0;10;70
122;1.65;2;25
126;0.23;2;50
130;41.2;2;10
134;38;2;72
139;53.7;2;3
144;55;2;12
152;3.39;2;74
156;0;2;78
160;24;2;63
161;0;3;8
166;0.54;3;69
171;0.47;3;49
174;0;3;57
179;2.57;3;17
184;3.3;3;5
189;0.97;3;46
194;2.42;3;53
198;1.035;3;22
203;1.63;3;26
208;2.5;3;64
213;1.28;3;28
218;0;3;40
223;0;3;41
228;0.35;3;44
233;0;3;77
238;49.8;3;67
243;33.6;4;9
248;25.5;4;4
252;0.32;4;56
257;2.42;4;15
262;2.14;4;20
267;204.6;4;60
272;0;4;79
277;0.72;4;35
282;1.63;4;25
287;25.47;4;61
292;1.18;4;30
296;27.6;4;73
301;0;4;62
306;52;4;14
311;32;4;65
316;0;4;78
324;0.24;5;36
328;1330;5;70
333;14.2;5;2
339;2.28;5;17
344;88;5;1
348;4.32;5;71
354;0.78;5;34
360;0.95;5;23
363;1.5;5;26
368;2.5;5;64
373;1.01;5;28
378;0;5;40
383;0;5;41
390;0.15;5;44
395;7;5;76
399;7.7;5;68
402;0;6;8
408;0;6;80
415;10;6;58
420;1.95;6;18
425;1.15;6;6
430;0.19;6;32
434;1.56;6;53
439;1.8;6;21
443;1.6;6;27
448;2.5;6;64
453;0.85;6;28
458;0;6;40
463;0;6;41
469;0.28;6;42
475;7;6;76
480;26;6;63
482;0.57;7;31
487;1.37;7;48
492;0.31;7;56
497;2.33;7;15
502;2.07;7;20
507;250;7;60
511;0;7;59
518;0.95;7;22
522;1.32;7;25
